,URL,Name ,Price
21,https://www.flipkart.com/redmi-note-11-se-bifrost-blue-64-gb/p/itm932a7d75da56c?pid=MOBGHBKHGMBWQCHE&lid=LSTMOBGHBKHGMBWQCHESERT3C&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGHBKHGMBWQCHE.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI Note 11 SE (Thunder Purple, 64 GB)","₹12,999"
22,https://www.flipkart.com/redmi-note-11-se-thunder-purple-64-gb/p/itmce37fc2eb4f23?pid=MOBGHBKHFEZDAGRK&lid=LSTMOBGHBKHFEZDAGRK96PWO1&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBGHBKHFEZDAGRK.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"REDMI Note 11T 5G (Matte black, 128 GB)","₹18,699"
23,https://www.flipkart.com/redmi-9i-sport-metallic-blue-64-gb/p/itmeb95d0b4616cc?pid=MOBG6WQWQZZMGQCU&lid=LSTMOBG6WQWQZZMGQCUD4GKAH&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=035ca47b-da0e-4ca7-ad72-c19a89a7de62.MOBG6WQWQZZMGQCU.SEARCH&ppt=None&ppn=None&ssid=dzrmgngocw0000001669040885468&qH=9b6bf0057c19bd94,"Redmi 9A Sport (Coral Green, 32 GB)","₹6,780"
24,https://www.flipkart.com/redmi-note-10-pro-max-dark-night-128-gb/p/itm3b34df1da19de?pid=MOBGB7255D2JWWKM&lid=LSTMOBGB7255D2JWWKMBHBQUP&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBGB7255D2JWWKM.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI Note 11 SE (Space Black, 64 GB)","₹12,999"
25,https://www.flipkart.com/redmi-note-11-pro-plus-5g-stealth-black-256-gb/p/itmd029928dc2e7e?pid=MOBGCQSBUPZHUNZB&lid=LSTMOBGCQSBUPZHUNZBELG1UO&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBGCQSBUPZHUNZB.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI 9 Activ (Coral Green, 64 GB)","₹8,589"
26,https://www.flipkart.com/redmi-note-11-pro-plus-5g-mirage-blue-128-gb/p/itmd029928dc2e7e?pid=MOBGHXQYHGUWNEJF&lid=LSTMOBGHXQYHGUWNEJFUGHYYK&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBGHXQYHGUWNEJF.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI 9 Activ (Metallic Purple, 128 GB)","₹10,499"
27,https://www.flipkart.com/redmi-10a-charcoal-black-32-gb/p/itm755830dd54ae1?pid=MOBGDRGHYWAAZDVD&lid=LSTMOBGDRGHYWAAZDVDBFIWVR&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBGDRGHYWAAZDVD.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI 10A (Charcoal Black, 32 GB)","₹7,619"
28,https://www.flipkart.com/redmi-10a-slate-grey-64-gb/p/itm755830dd54ae1?pid=MOBGHXQY2BT4UFZG&lid=LSTMOBGHXQY2BT4UFZGBFDRQA&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBGHXQY2BT4UFZG.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI 10A (Sea Blue, 32 GB)","₹7,585"
29,https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBG7DGGNP5N2RXH&lid=LSTMOBG7DGGNP5N2RXH7DCWRL&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBG7DGGNP5N2RXH.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹17,999"
30,https://www.flipkart.com/redmi-note-11-se-space-black-64-gb/p/itm59254e5b85149?pid=MOBGHBKHSZKHJPQH&lid=LSTMOBGHBKHSZKHJPQHLEULZD&marketplace=FLIPKART&q=redmi&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=790be9c6-5ddf-442c-9130-b13c4dedf6db.MOBGHBKHSZKHJPQH.SEARCH&ppt=None&ppn=None&ssid=3qdd5v2r6o0000001669040886289&qH=9b6bf0057c19bd94,"REDMI 9 Activ (Coral Green, 128 GB)","₹10,499"
